"","X1","Country","Population","Cases","Rate","Region"
"1",1,"Afghanistan",38928341,41032,1054.03926666179,"Asia & Pacific"
"2",2,"Albania",2877800,19729,6855.5841267635,"Europe"
"3",3,"Algeria",43851043,56706,1293.15054148199,"Africa"
"4",4,"Andorra",77265,4410,57076.2958648806,"Europe"
"5",5,"Angola",32866268,9871,300.338328647475,"Africa"
"6",6,"Antigua and Barbuda",97928,124,1266.23641859325,"Latin America/Caribbean"
"7",7,"Argentina",45195777,1116609,24706.047204366,"Latin America/Caribbean"
"8",8,"Armenia",2963234,80410,27135.8927442112,"Europe"
"9",9,"Austria",9006400,86102,9560.09060223841,"Europe"
"10",10,"Azerbaijan",10139175,51149,5044.69051969218,"Asia & Pacific"
"11",11,"Bahamas",393248,6502,16534.0955325901,"Latin America/Caribbean"
"12",12,"Bahrain",1701583,80765,47464.62558688,"Asia & Pacific"
"13",13,"Bangladesh",164689383,401586,2438.44498464118,"Asia & Pacific"
"14",14,"Barbados",287371,233,810.798584408308,"Latin America/Caribbean"
"15",15,"Belarus",9449321,94609,10012.2537905105,"Europe"
"16",16,"Belgium",11589616,333718,28794.5692074699,"Europe"
"17",17,"Belize",397621,3200,8047.86467515549,"Latin America/Caribbean"
"18",18,"Benin",12123198,2557,210.917944258602,"Africa"
"19",19,"Bhutan",771612,345,447.11590799521,"Asia & Pacific"
"20",20,"Bolivia",11673029,141124,12089.7497984456,"Latin America/Caribbean"
"21",21,"Bosnia and Herzegovina",3280815,43151,13152.5246013567,"Europe"
"22",22,"Botswana",2351625,6283,2671.76952107585,"Africa"
"23",23,"Brazil",212559409,5439641,25591.1560235849,"Latin America/Caribbean"
"24",24,"Brunei",437483,148,338.298859612831,"Asia & Pacific"
"25",25,"Bulgaria",6948445,42701,6145.40375580436,"Europe"
"26",26,"Burkina Faso",20903278,2466,117.971927656514,"Africa"
"27",27,"Burma",54409794,47666,876.055513093837,"Asia & Pacific"
"28",28,"Burundi",11890781,558,46.9271110114634,"Africa"
"29",29,"Cabo Verde",555988,8472,15237.738944006,"Africa"
"30",30,"Cambodia",16718971,290,17.3455651068478,"Asia & Pacific"
"31",31,"Cameroon",26545864,21793,820.956515109096,"Africa"
"32",32,"Central African Republic",4829764,4863,1006.881495659,"Africa"
"33",33,"Chad",16425859,1460,88.8842403919332,"Africa"
"34",34,"Chile",19116209,504525,26392.5237477787,"Latin America/Caribbean"
"35",35,"Colombia",50882884,1033218,20305.8065655241,"Latin America/Caribbean"
"36",36,"Congo (Brazzaville)",5518092,5253,951.959481646917,"Africa"
"37",37,"Congo (Kinshasa)",89561404,11191,124.95337835481,"Africa"
"38",38,"Costa Rica",5094114,105322,20675.2342016688,"Latin America/Caribbean"
"39",39,"Cote d'Ivoire",26378275,20488,776.69976524242,"Africa"
"40",40,"Croatia",4105268,38621,9407.66839095523,"Europe"
"41",41,"Cuba",11326616,6678,589.584744463836,"Latin America/Caribbean"
"42",42,"Cyprus",1207361,3817,3161.44053021424,"Europe"
"43",43,"Czechia",10708982,284033,26522.8758438477,"Europe"
"44",44,"Denmark",5792203,42668,7366.45452516081,"Europe"
"45",45,"Diamond Princess",0,712,Inf,"Cruise ship"
"46",46,"Djibouti",988002,5544,5611.32467343184,"Africa"
"47",47,"Dominica",71991,38,527.843758247559,"Latin America/Caribbean"
"48",48,"Dominican Republic",10847904,125008,11523.7007997121,"Latin America/Caribbean"
"49",49,"Ecuador",17643060,163192,9249.64263568791,"Latin America/Caribbean"
"50",50,"Egypt",102334403,106877,1044.38973470144,"Middle east"
"51",51,"El Salvador",6486201,32925,5076.16091453225,"Latin America/Caribbean"
"52",52,"Equatorial Guinea",1402985,5083,3622.98955441434,"Africa"
"53",53,"Eritrea",3546427,461,129.989987105332,"Africa"
"54",54,"Estonia",1326539,4465,3365.90179406712,"Europe"
"55",55,"Eswatini",1160164,5875,5063.93923617696,"Africa"
"56",56,"Ethiopia",114963583,94218,819.546481949854,"Africa"
"57",57,"Fiji",896444,33,36.8121154249457,"Asia & Pacific"
"58",58,"Finland",5540718,15163,2736.64893250297,"Europe"
"59",59,"France",65273512,1244242,19061.9741741489,"Europe"
"60",60,"Gabon",2225728,8937,4015.31543836444,"Africa"
"61",61,"Gambia",2416664,3666,1516.96719113621,"Africa"
"62",62,"Georgia",3989175,32127,8053.5449059016,"Europe"
"63",63,"Germany",83783945,463419,5531.11935705582,"Europe"
"64",64,"Ghana",31072945,47775,1537.51116928247,"Africa"
"65",65,"Greece",10423056,32752,3142.26461030239,"Europe"
"66",66,"Grenada",112519,28,248.84686141896,"Latin America/Caribbean"
"67",67,"Guatemala",17915567,105571,5892.69655825015,"Latin America/Caribbean"
"68",68,"Guinea",13132792,11819,899.960952705259,"Africa"
"69",69,"Guinea-Bissau",1967998,2403,1221.03782625795,"Africa"
"70",70,"Guyana",786559,4061,5162.99476580905,"Latin America/Caribbean"
"71",71,"Haiti",11402533,9040,792.806300144012,"Latin America/Caribbean"
"72",72,"Holy See",809,27,33374.5364647713,"Europe"
"73",73,"Honduras",9904608,94623,9553.43209948339,"Latin America/Caribbean"
"74",74,"Hungary",9660350,63642,6587.96006355877,"Europe"
"75",75,"Iceland",341250,4574,13403.663003663,"Europe"
"76",76,"India",1380004385,7990322,5790.07000763987,"Asia & Pacific"
"77",77,"Indonesia",273523621,396454,1449.4324056934,"Asia & Pacific"
"78",78,"Iran",83992953,581824,6927.05732110645,"Middle east"
"79",79,"Iraq",40222503,459908,11434.0969780026,"Middle east"
"80",80,"Ireland",4937796,58767,11901.4637299718,"Europe"
"81",81,"Israel",8655541,311724,36014.386622396,"Middle east"
"82",82,"Italy",60461828,564778,9341.06722674677,"Europe"
"83",83,"Jamaica",2961161,8787,2967.41717184577,"Latin America/Caribbean"
"84",84,"Japan",126476458,98146,776.002123652135,"Asia & Pacific"
"85",85,"Jordan",10203140,58855,5768.32230078192,"Middle east"
"86",86,"Kazakhstan",18776707,110832,5902.63244774496,"Asia & Pacific"
"87",87,"Kenya",53771300,50833,945.355607917235,"Africa"
"88",88,"Korea, South",51269183,26146,509.974968783879,"Asia & Pacific"
"89",89,"Kosovo",1810366,17943,9911.25551407837,"Europe"
"90",90,"Kuwait",4270563,123092,28823.365912176,"Middle east"
"91",91,"Kyrgyzstan",6524191,56738,8696.5571670112,"Asia & Pacific"
"92",92,"Laos",7275556,24,3.29871696403684,"Asia & Pacific"
"93",93,"Latvia",1886202,4893,2594.10179821673,"Europe"
"94",94,"Lebanon",6825442,73995,10841.0561543121,"Middle east"
"95",95,"Liberia",5057677,1419,280.563586800818,"Africa"
"96",96,"Libya",6871287,57975,8437.28401971858,"Middle east"
"97",97,"Liechtenstein",38137,428,11222.6971182841,"Europe"
"98",98,"Lithuania",2722291,11362,4173.69046879999,"Europe"
"99",99,"Luxembourg",625976,14884,23777.2694160799,"Europe"
"100",100,"Madagascar",27691019,16968,612.761848886818,"Africa"
"101",101,"Malawi",19129955,5897,308.260003748049,"Africa"
"102",102,"Malaysia",32365998,28640,884.879248895708,"Asia & Pacific"
"103",103,"Maldives",540542,11567,21398.892222991,"Asia & Pacific"
"104",104,"Mali",20250834,3515,173.573098273385,"Africa"
"105",105,"Malta",441539,5685,12875.4198383382,"Europe"
"106",106,"Mauritania",4649660,7680,1651.73367515044,"Africa"
"107",107,"Mauritius",1271767,439,345.189016541552,"Africa"
"108",108,"Mexico",128932753,901268,6990.2176059174,"Latin America/Caribbean"
"109",109,"Moldova",4033963,72460,17962.4850302296,"Europe"
"110",110,"Monaco",39244,320,8154.1127306085,"Europe"
"111",111,"Mongolia",3278292,340,103.71254299495,"Asia & Pacific"
"112",112,"Montenegro",628062,17091,27212.2815900341,"Europe"
"113",113,"Morocco",36910558,203733,5519.64020701069,"Africa"
"114",114,"Mozambique",31255435,12273,392.667707232358,"Africa"
"115",115,"MS Zaandam",NA,9,NA,"Cruise ship"
"116",116,"Namibia",2540916,12729,5009.61070731972,"Africa"
"117",117,"Nepal",29136808,160400,5505.06424725728,"Asia & Pacific"
"118",118,"Netherlands",17134873,318152,18567.5143317374,"Europe"
"119",119,"New Zealand",4822233,1943,402.925366733627,"Asia & Pacific"
"120",120,"Nicaragua",6624554,5514,832.35792175594,"Latin America/Caribbean"
"121",121,"Niger",24206636,1218,50.3167809025591,"Africa"
"122",122,"Nigeria",206139587,62224,301.853714298943,"Africa"
"123",123,"North Macedonia",2083380,27827,13356.6608107978,"Europe"
"124",124,"Norway",5421242,18666,3443.1224431597,"Europe"
"125",125,"Oman",5106622,113820,22288.7067027871,"Middle east"
"126",126,"Pakistan",220892331,330200,1494.84592111077,"Asia & Pacific"
"127",127,"Panama",4314768,130422,30226.8858951397,"Latin America/Caribbean"
"128",128,"Papua New Guinea",8947027,588,65.7201548626153,"Asia & Pacific"
"129",129,"Paraguay",7132530,60557,8490.25521098404,"Latin America/Caribbean"
