"","X1","Country","Population","Deaths","Rates","Region"
"1",1,"Afghanistan",38928341,1536,39.4571142911022,"Asia & Pacific"
"2",2,"Albania",2877800,518,179.998610049343,"Europe"
"3",3,"Algeria",43851043,1973,44.9932285533094,"Africa"
"4",4,"Andorra",77265,75,970.6853038245,"Europe"
"5",5,"Angola",32866268,286,8.70193111064512,"Africa"
"6",6,"Antigua and Barbuda",97928,3,30.63475206274,"Latin America/Caribbean"
"7",7,"Argentina",45195777,31140,689.002426045248,"Latin America/Caribbean"
"8",8,"Armenia",2963234,1363,459.970424205446,"Europe"
"9",9,"Austria",9006400,1130,125.466335050631,"Europe"
"10",10,"Azerbaijan",10139175,740,72.9842418145461,"Asia & Pacific"
"11",11,"Bahamas",393248,144,366.181137602734,"Latin America/Caribbean"
"12",12,"Bahrain",1701583,321,188.647864958688,"Asia & Pacific"
"13",13,"Bangladesh",164689383,5941,36.0739708400025,"Asia & Pacific"
"14",14,"Barbados",287371,7,24.358755754756,"Latin America/Caribbean"
"15",15,"Belarus",9449321,985,104.240294090972,"Europe"
"16",16,"Belgium",11589616,11737,1012.7169010604,"Europe"
"17",17,"Belize",397621,59,148.382504948179,"Latin America/Caribbean"
"18",18,"Benin",12123198,41,3.38194591889038,"Africa"
"19",19,"Bhutan",771612,0,0,"Asia & Pacific"
"20",20,"Bolivia",11673029,8731,747.963532001848,"Latin America/Caribbean"
"21",21,"Bosnia and Herzegovina",3280815,1248,380.393286424257,"Europe"
"22",22,"Botswana",2351625,24,10.2057088183703,"Africa"
"23",23,"Brazil",212559409,160074,753.078872175449,"Latin America/Caribbean"
"24",24,"Brunei",437483,3,6.8574093164763,"Asia & Pacific"
"25",25,"Bulgaria",6948445,1298,186.804385729469,"Europe"
"26",26,"Burkina Faso",20903278,67,3.20523891037568,"Africa"
"27",27,"Burma",54409794,1258,23.1208373992373,"Asia & Pacific"
"28",28,"Burundi",11890781,1,0.0840987652535187,"Africa"
"29",29,"Cabo Verde",555988,95,170.866997129434,"Africa"
"30",30,"Cambodia",16718971,0,0,"Asia & Pacific"
"31",31,"Cameroon",26545864,429,16.160709630698,"Africa"
"32",32,"Central African Republic",4829764,62,12.8370661589262,"Africa"
"33",33,"Chad",16425859,98,5.96620243726675,"Africa"
"34",34,"Chile",19116209,14247,745.283753698236,"Latin America/Caribbean"
"35",35,"Colombia",50882884,31796,624.885963617943,"Latin America/Caribbean"
"36",36,"Congo (Brazzaville)",5518092,92,16.6724295281775,"Africa"
"37",37,"Congo (Kinshasa)",89561404,308,3.43898137193115,"Africa"
"38",38,"Costa Rica",5094114,1385,271.882411740295,"Latin America/Caribbean"
"39",39,"Cote d'Ivoire",26378275,126,4.77665806425932,"Africa"
"40",40,"Croatia",4105268,562,136.897274428856,"Europe"
"41",41,"Cuba",11326616,128,11.3008157070037,"Latin America/Caribbean"
"42",42,"Cyprus",1207361,26,21.5345700250381,"Europe"
"43",43,"Czechia",10708982,3429,320.198502528065,"Europe"
"44",44,"Denmark",5792203,723,124.822973227976,"Europe"
"45",45,"Diamond Princess",0,13,Inf,"Cruise ship"
"46",46,"Djibouti",988002,61,61.740765706952,"Africa"
"47",47,"Dominica",71991,0,0,"Latin America/Caribbean"
"48",48,"Dominican Republic",10847904,2249,207.321156234421,"Latin America/Caribbean"
"49",49,"Ecuador",17643060,12684,718.922907930937,"Latin America/Caribbean"
"50",50,"Egypt",102334403,6278,61.3478929466174,"Middle east"
"51",51,"El Salvador",6486201,979,150.935809728992,"Latin America/Caribbean"
"52",52,"Equatorial Guinea",1402985,83,59.1595776148711,"Africa"
"53",53,"Eritrea",3546427,0,0,"Africa"
"54",54,"Estonia",1326539,73,55.0304212691824,"Europe"
"55",55,"Eswatini",1160164,117,100.847811171524,"Africa"
"56",56,"Ethiopia",114963583,1478,12.8562450945879,"Africa"
"57",57,"Fiji",896444,2,2.23103729848156,"Asia & Pacific"
"58",58,"Finland",5540718,358,64.6125646531731,"Europe"
"59",59,"France",65273512,37057,567.718801464214,"Europe"
"60",60,"Gabon",2225728,55,24.7110159013141,"Africa"
"61",61,"Gambia",2416664,119,49.2414336457199,"Africa"
"62",62,"Georgia",3989175,335,83.9772634692637,"Europe"
"63",63,"Germany",83783945,10541,125.811693397822,"Europe"
"64",64,"Ghana",31072945,320,10.2983479679831,"Africa"
"65",65,"Greece",10423056,635,60.9226315199688,"Europe"
"66",66,"Grenada",112519,0,0,"Latin America/Caribbean"
"67",67,"Guatemala",17915567,3738,208.645364112674,"Latin America/Caribbean"
"68",68,"Guinea",13132792,73,5.55860475061206,"Africa"
"69",69,"Guinea-Bissau",1967998,41,20.8333545054416,"Africa"
"70",70,"Guyana",786559,126,160.19141602855,"Latin America/Caribbean"
"71",71,"Haiti",11402533,232,20.3463563753773,"Latin America/Caribbean"
"72",72,"Holy See",809,0,0,"Europe"
"73",73,"Honduras",9904608,2675,270.076311955001,"Latin America/Caribbean"
"74",74,"Hungary",9660350,1819,188.295455133613,"Europe"
"75",75,"Iceland",341250,12,35.1648351648352,"Europe"
"76",76,"India",1380004385,122607,88.8453698645313,"Asia & Pacific"
"77",77,"Indonesia",273523621,13943,50.975487780633,"Asia & Pacific"
"78",78,"Iran",83992953,35298,420.249541649048,"Middle east"
"79",79,"Iraq",40222503,10966,272.633455953748,"Middle east"
"80",80,"Ireland",4937796,1915,387.824851411439,"Europe"
"81",81,"Israel",8655541,2554,295.0710995419,"Middle east"
"82",82,"Italy",60461828,38826,642.157230178353,"Europe"
"83",83,"Jamaica",2961161,208,70.2427189875863,"Latin America/Caribbean"
"84",84,"Japan",126476458,1776,14.0421389726142,"Asia & Pacific"
"85",85,"Jordan",10203140,866,84.8758323418085,"Middle east"
"86",86,"Kazakhstan",18776707,1825,97.1948915217136,"Asia & Pacific"
"87",87,"Kenya",53771300,1013,18.8390461082399,"Africa"
"88",88,"Korea, South",51269183,468,9.12829057564658,"Asia & Pacific"
"89",89,"Kosovo",1810366,678,374.509905731769,"Europe"
"90",90,"Kuwait",4270563,782,183.11402969585,"Middle east"
"91",91,"Kyrgyzstan",6524191,1144,175.347410889718,"Asia & Pacific"
"92",92,"Laos",7275556,0,0,"Asia & Pacific"
"93",93,"Latvia",1886202,74,39.2322773488736,"Europe"
"94",94,"Lebanon",6825442,643,94.2063532295784,"Middle east"
"95",95,"Liberia",5057677,82,16.2129768271086,"Africa"
"96",96,"Libya",6871287,871,126.759368368691,"Middle east"
"97",97,"Liechtenstein",38137,3,78.6637648477856,"Europe"
"98",98,"Lithuania",2722291,166,60.9780512076042,"Europe"
"99",99,"Luxembourg",625976,152,242.820811021509,"Europe"
"100",100,"Madagascar",27691019,244,8.8115211650391,"Africa"
"101",101,"Malawi",19129955,184,9.61842304385975,"Africa"
"102",102,"Malaysia",32365998,249,7.69325883292707,"Asia & Pacific"
"103",103,"Maldives",540542,38,70.2998101905125,"Asia & Pacific"
"104",104,"Mali",20250834,136,6.71577279236993,"Africa"
"105",105,"Malta",441539,64,144.947558426322,"Europe"
"106",106,"Mauritania",4649660,163,35.0563266991565,"Africa"
"107",107,"Mauritius",1271767,10,7.86307554764355,"Africa"
"108",108,"Mexico",128932753,91895,712.735886435311,"Latin America/Caribbean"
"109",109,"Moldova",4033963,1800,446.211331140122,"Europe"
"110",110,"Monaco",39244,2,50.9632045663031,"Europe"
"111",111,"Mongolia",3278292,0,0,"Asia & Pacific"
"112",112,"Montenegro",628062,313,498.358442319389,"Europe"
"113",113,"Morocco",36910558,3762,101.922057098134,"Africa"
"114",114,"Mozambique",31255435,93,2.97548250408289,"Africa"
"115",115,"MS Zaandam",NA,2,NA,"Cruise ship"
"116",116,"Namibia",2540916,133,52.3433281540988,"Africa"
"117",117,"Nepal",29136808,960,32.9480154449314,"Asia & Pacific"
"118",118,"Netherlands",17134873,7498,437.587135895317,"Europe"
"119",119,"New Zealand",4822233,25,5.1843202101599,"Asia & Pacific"
"120",120,"Nicaragua",6624554,156,23.5487551312888,"Latin America/Caribbean"
"121",121,"Niger",24206636,69,2.85045803142576,"Africa"
"122",122,"Nigeria",206139587,1146,5.55933974972017,"Africa"
